index,sekki,kanji,romaji,en,la_reading,plant_ids,approx_month,approx_day
"1",,"東風解凍","Harukaze kōri o toku","East wind melts the ice","","",,
"2",,"黄鶯睍睆","Kōō kenkan su","Bush warbler starts singing","","evergreen-pear",,
"3",,"魚上氷","Uo kōri o izuru","Fish emerge from the ice","","",,
"4",,"土脉潤起","Tsuchi no shō uruoi okoru","Rain moistens the soil","","japanese-camellia",,
"5",,"霞始靆","Kasumi hajimete tanabiku","Mist starts to linger","","",,
"6",,"草木萌動","Sōmoku mebae izuru","Grass and trees sprout","","wisteria|japanese-magnolia",,
"7",,"蟄虫啓戸","Sugomori mushi to o hiraku","Hibernating insects open their doors","","",,
"8",,"桃始笑","Momo hajimete saku","Peach trees start to bloom","","flowering-cherry|evergreen-pear",,
"9",,"菜虫化蝶","Namushi chō to naru","Caterpillars become butterflies","","",,
"10",,"雀始巣","Suzume hajimete sukū","Sparrows start nesting","","",,
"11",,"桜始開","Sakura hajimete hiraku","Cherry blossoms open","","flowering-cherry|azalea",,
"12",,"雷乃発声","Kaminari sunawachi koe o hassu","Distant thunder rolls","","",,
"13",,"玄鳥至","Tsubame kitaru","Swallows return","","",,
"14",,"鴻雁北","Kōgan kaeru","Wild geese fly north","","",,
"15",,"虹始見","Niji hajimete arawaru","First rainbows appear","","",,
"16",,"葭始生","Ashi hajimete shōzu","First reeds sprout","","madake-bamboo|golden-bamboo",,
"17",,"霜止出苗","Shimo yamite nae izuru","Last frost; rice seedlings grow","","",,
"18",,"牡丹華","Botan hana saku","Peonies bloom","","japanese-pittosporum|indian-hawthorne",,
"19",,"蛙始鳴","Kawazu hajimete naku","Frogs start singing","","",,
"20",,"蚯蚓出","Mimizu izuru","Earthworms surface","","",,
"21",,"竹笋生","Takenoko shōzu","Bamboo shoots sprout","","madake-bamboo",,
"22",,"蚕起食桑","Kaiko okite kuwa o hamu","Silkworms wake and feed on mulberry","","",,
"23",,"紅花栄","Benibana sakau","Safflowers bloom","","",,
"24",,"麦秋至","Mugi no toki itaru","Wheat ripens and is harvested","","",,
"25",,"蟷螂生","Kamakiri shōzu","Praying mantises hatch","","",,
"26",,"腐草為螢","Kusaretaru kusa hotaru to naru","Rotting grass becomes fireflies","","",,
"27",,"梅子黄","Ume no mi kibamu","Plums turn yellow","","",,
"28",,"乃東枯","Natsukarekusa karuru","Self-heal withers","","pomegranate",,
"29",,"菖蒲華","Ayame hana saku","Irises bloom","","fortnight-lily",,
