id,name,japanese,romaji,scientific,substitute,x,y,manyoshu_count,category_ref_label,wiki_slug,description
"black-pine","Japanese Black Pine","黒松","Kuromatsu","Pinus thunbergii","","41.1","66.9","78","","Pinus_thunbergii","One of the most iconic elements of Japanese gardens. Often trimmed in a bonsai form, these trees are seen as a direct link between the heavens and earth. The needles or 'candles' are trimmed to point upward toward the gods."
"flowering-cherry","Flowering Cherry","山桜","Sakura / Yamazakura","Prunus serrulata 'Kwanzan'","","52.8","78","2","","Prunus_serrulata","A prominent symbol in Japan, often seen on kimono and confectionery. The cherry symbolizes impermanence — its dormancy is seen as just as beautiful as its blossoms. The wood makes a gray-colored charcoal and the leaves are used to wrap mochi."
"wisteria","Wisteria","藤","Fuji / Nodafuji / Yamafuji","Wisteria floribunda","","52.2","15","26","","Wisteria_floribunda","Traditionally used in combination with mulberry trees to make high-quality paper. The fragrant root is used in baths."
"azalea","Azalea","山躑躅","Yamatsutsuji","Azalea","","66.3","79.3","9","","Azalea","Long used as a festival flower. Modern azaleas would not be in such wide production were it not for the work of Japanese gardeners and cultivators."
"japanese-camellia","Japanese Camellia","藪椿 / 山椿","Yabutsubaki / Yamatsubaki","Camellia japonica","","72.8","80.1","0","Camellia (tsubaki, 椿)","Camellia_japonica","Oil pressed from the seeds (tsubaki-abura, 椿油) has been traditionally used in Japan for hair care, and the plant is used to prepare anti-inflammatory medicines. Camellias offer splashes of color and impermanence in the landscape."
"sasanqua-camellia","Sasanqua Camellia",,,"Camellia sasanqua","","72.6","63","9","","Camellia_sasanqua","A close relative of the Japanese camellia, blooming in autumn and early winter."
"japanese-magnolia","Japanese Magnolia",,"Honoki","Magnolia liliiflora","","82.1","78.5","1","","Magnolia_liliiflora","Bark extract has been used for ~1,000 years in traditional Chinese and Japanese medicine for ailments ranging from asthma to depression to muscle pain."
"japanese-maple","Japanese Maple",,"Kaerude / Irohakaerude / Kaede / Yamamomiji","Acer palmatum","","82","58.8","2","","Acer_palmatum","The leaves are packed around apples and root crops to help preserve them. The wood is used to make instruments and flooring; the leaves are also used in bouquets."
"madake-bamboo","Madake Bamboo",,"Take","Phyllostachys bambusoides","","24.9","81.9","0","Bamboo (take, 竹)","Phyllostachys_bambusoides","A large bamboo that sprouts March–April, when its shoots are edible. The leaves are used to wrap rice balls; the wood is used for building and crafting. In the JACCC garden, the bamboo forest represents the future of the Japanese American community — its strength and flexibility."
"golden-bamboo","Golden Bamboo",,,"Phyllostachys aurea","","8.7","88.2","20","","Phyllostachys_aurea","An ornamental bamboo cluster forming an evergreen screen."
"broad-leaf-bamboo","Broad Leaf Bamboo",,"Sasa",,"","37.2","95.8","0","Sasa / bamboo grass (笹)","Sasa_(plant)","A short, broad-leafed bamboo used widely as understory and groundcover."
"camphor","Camphor",,"Kusunoki","Cinnamomum camphora","","64","33.6","0","","Cinnamomum_camphora","The oil of camphor trees is commonly used in industrial applications."
"crape-myrtle","Crape Myrtle",,"Saru Suberi (slippery)","Lagerstroemia","","59.2","71.9","0","","Lagerstroemia","Known in Japan as Saru Suberi — 'slippery' — from old folklore that the bark is so smooth not even a monkey can climb it."
"fortnight-lily","Fortnight Lily","笹百合 / 山百合","Sasayuri / Yamayuri (substituted)","Dietes iridioides","yes","44.4","85.6","9","","Dietes_iridioides","Substituted for the lilies of the Man'yōshū to suit the Southern California climate. Traditionally, Japanese lily (Lilium japonicum) and mountain lily (Lilium auratum) would be used."
"dwarf-mondo","Dwarf Mondo Grass",,"Janohige / Ryunohige / Yaburan","Ophiopogon japonicus","","57.3","78.5","13","","Ophiopogon_japonicus","Used in traditional Japanese gardens as a groundcover, especially in geometric settings."
"evergreen-pear","Evergreen Pear",,"Nashi","Pyrus kawakamii","yes","66.7","88","4","","Pyrus_kawakamii","A substitute for the edible pears commonly found in Japanese gardens. Nashi is the general word for pear."
"miniature-juniper","Miniature Japanese Juniper",,"Nezu","Juniperus procumbens 'Nana'","yes","66.4","58.3","1","","Juniperus_procumbens","Though not the same juniper found in the Man'yōshū, this dwarf form is widely used as a groundcover in Japanese gardens."
"japanese-holly","Japanese Holly",,,"Ilex crenata","","35.8","70.4","0","","Ilex_crenata","A native plant to Japan. People put a sardine's head with hollies at the entrance of their homes — evils hate the smell of sardines and the jagged leaves of holly. The plant signifies 'defense.'"
"japanese-pittosporum","Japanese Pittosporum",,,"Pittosporum tobira","","58.7","61.2","0","","Pittosporum_tobira","A native plant to Japan, commonly used in ornamental applications."
"japanese-elm","Japanese Elm",,,"Ulmus davidiana var. japonica","","76.8","45.2","0","Tsuki / hemlock-elm (槻)","Ulmus_davidiana","A native plant to Japan's forests."
"donated-persimmon","Donated Persimmon",,,,"","45.7","14.2","0","","Diospyros_kaki","Donated from Hiroshima — a survivor of the atomic bomb dropped on August 6, 1945. Planted at the JACCC in 2013. Persimmon leaves are traditionally used to wrap food."
"baran","Baran",,,"Aspidistra elatior","","42.6","21","0","","Aspidistra_elatior","A broad-leaf plant used in culinary settings — often seen in table settings and used to wrap food."
"leather-fern","Leather Fern",,,"Rumohra adiantiformis","yes","48.1","76.7","0","Fern (sawarabi 早蕨 / shida 羊歯)","Rumohra_adiantiformis","Not native to Japan — substituted to suit the Southern California climate. In Japan, ferns are used to help keep food longer."
"cedar","Cedar","杉","Sugi","Cedrus spp.","","56.3","41","0","Cedar (sugi, 杉)","Cedrus","A towering evergreen used widely in Japanese landscapes and temple architecture. The fragrant wood is prized for construction, sake barrels, and incense."
"false-heather","False Heather",,,"Cuphea hyssopifolia","yes","68.3","66.8","0","","Cuphea_hyssopifolia","A low-growing Mexican shrub with tiny lavender flowers, used here as a tidy evergreen groundcover well suited to the Los Angeles climate."
"sprenger-asparagus","Sprenger Asparagus",,,"Asparagus densiflorus 'Sprengeri'","yes","47.5","24.3","0","","Asparagus_aethiopicus","A South African ornamental with arching, feathery foliage. Used as a soft textural groundcover; not native to Japan."
"pomegranate","Pomegranate",,"Zakuro","Punica granatum","","34.6","91","0","","Pomegranate","Introduced to Japan from the Asian mainland after the Man'yōshū era. Valued for its brilliant orange blossoms, ornamental fruit, and use in bonsai."
"heavenly-bamboo","Heavenly Bamboo",,"Nanten","Nandina domestica","","71.4","39.9","0","","Nandina","Despite its name, not a true bamboo. Long planted near Japanese entryways for its red winter berries and the auspicious sound of its name (nan-ten, 'turning misfortune')."
"redwood","Coast Redwood",,,"Sequoia sempervirens","yes","80.3","47.1","0","","Sequoia_sempervirens","A California native used here as a tall evergreen backdrop, echoing the role cedar (sugi) plays in Japanese gardens."
"indian-hawthorne","Indian Hawthorn",,,"Rhaphiolepis indica","yes","43.1","56.9","0","","Rhaphiolepis_indica","A compact evergreen shrub with pink-white spring blossoms. A reliable Southern California stand-in for Japanese flowering shrubs."
"lilyturf","Lilyturf",,,"Liriope spicata","","55.5","63.6","0","","Liriope_spicata","A grass-like groundcover with slender purple flower spikes. Often used in Japanese gardens to soften path edges and stones."
"creeping-periwinkle","Creeping Periwinkle",,,"Vinca minor","yes","42.8","41","0","","Vinca_minor","A trailing evergreen groundcover with violet-blue flowers, used here in place of native Japanese groundcovers for its drought tolerance."
"old-gold-juniper","Juniper 'Old Gold'",,,"Juniperus × pfitzeriana 'Old Gold'","yes","45.1","80.1","0","Juniper (muro, 室)","Juniperus_×_pfitzeriana","A spreading juniper with golden-yellow new growth, used as ornamental low cover. A cultivated variety of the broader juniper family found in the Man'yōshū."
"golden-rain-tree","Golden Rain Tree",,,"Koelreuteria paniculata","","58.9","22.5","0","","Koelreuteria_paniculata","A small deciduous tree with cascading yellow summer flowers followed by papery lantern-shaped seed pods."
"victorian-box","Victorian Box",,,"Pittosporum undulatum","yes","65.4","44.5","0","","Pittosporum_undulatum","An Australian evergreen tree with fragrant cream flowers, used as a screening tree in this Los Angeles adaptation of a Japanese garden."
"dwarf-sacred-bamboo","Dwarf Sacred Bamboo",,"Otafuku Nanten","Nandina domestica 'Nana'","","51.2","56.4","0","","Nandina","A compact cultivar of heavenly bamboo, prized for its dense mounding habit and crimson winter foliage. Planted as a low accent at path edges."
