ref,author,source,url,japanese,romaji,english,preface
"MYS I: 65","Prince Naga (?-715)長皇子","wakapoetry","http://www.wakapoetry.net/mys-i-65/","霰打　安良礼松原　住吉之　弟日娘与　見礼常不飽香聞","arare utu ararematubara sumiyosi no otoiwotome to miredo akanu kamo","Hail strikes Ararematsubara In Sumiyoshi A pleasure girl I see, yet cannot get my fill.","A poem composed by Prince Naga, on the occasion of a visit to the Naniwa Palace in Kyōun 3 [707]."
"MYS I: 54","Sakato no Hitotari坂門人足","wakapoetry","http://www.wakapoetry.net/mys-i-54/","巨勢山乃　列々椿　都良々々尓　見乍思奈　許湍乃春野乎","koseyama no turatura tubaki turatura ni mitutu sinopana kose no paruno wo","Upon Mount Kose All aligned are the camelias: Keenly Gazing at them let us recall The meadows of Kose in springtime!","A poem composed on the occasion of a vist to the province of Kii by His Majesty, the Retired Emperor, in the first year of Taihō (701)."
"MYS I: 34","Prince Kawashima川島皇子","wakapoetry","http://www.wakapoetry.net/mys-i-34/","白浪乃　濱松之枝乃　手向草　幾代左右二賀　年乃經去良武　[一云 年者經尓計武]","siranami no pamamatu ga eda no tamukegusa iku yo made ni ka tosi no penuramu","Whitecaps draw near The pine trees on the beach, branches Beribboned with travellers' prayers; How long a time Of years has gone by so, I wonder?","A poem composed by the Kawashima Prince on the occasion of an Imperial visit to the province of Kii."
"MYS I: 63","いざ子ども早く大和へ大伴の御津の濱松待ち戀ひぬらむ","wakapoetry","http://www.wakapoetry.net/mys-i-63/","去来子等　早日本邊　大伴乃　御津乃濱松　待戀奴良武","iza kodomo payaku yamato pe opotomo no mitu no pama matu matikopinuramu","Hey, now, everyone! Let’s haste back to Yamato! In Ōtomo Upon the beach at Mitsu, the pines Must long for our return&#8230;","A poem Yamanoe no Okura composed when in China, and thinking of home."
"MYS II: 141","Prince Arima 有間皇子","wakapoetry","http://www.wakapoetry.net/mys-ii-141/","磐白の浜松が枝を引き結びま幸くあらばまた帰り見む","ipasiro no pamamatu ga e wo pikimusubi masakiku araba kaperimimu","At Iwashiro, A beach-pine’s branches I draw and bind together; If fortune favours me, I’ll return to see them once more…","Two poems composed by Prince Arima, on feeling sorrowful and tying the branches of a pine tree together."
"MYS II: 143","Naga no Okimaro 長意吉麻呂","wakapoetry","http://www.wakapoetry.net/mys-ii-143/","磐代の岸の松が枝結びけむ人は帰りてまた見けむかも","ipasiro no kisi no matu ga e musubikemu pito pa kaperite mata mikemu kamo","On Iwashiro’s Shore, a pine’s branches It seems he tied &#8211; I wonder, will he return And see them once more…","Two poems composed by Naga no imiki Okimaro, grieving at the sight of the bound pine."
"MYS II: 133",,"wakapoetry","http://www.wakapoetry.net/mys-ii-133/","笹の葉はみ山もさやにさやげども我れは妹思ふ別れ來ぬれば","sasa nö pa pa mi yama mo saya ni sayagedömo ware pa imo omopu wakarekonureba","The leaves of bamboo grass All o'er the mount with silken Rustles sound, yet I dream of my darling, For I am parted from her.",
"MYS II: 146","This poem appears in the Kakinonomoto no Hitomaro Collection.","wakapoetry","http://www.wakapoetry.net/mys-ii-146/","後見むと君が結べる磐代の小松がうれをまたも見むかも","noti mimu to kimi ga musuberu ipasiro no komatu ga ure wo mata mo mimu kamo","Thinking to see it more The Prince did tie At Iwashiro Pine saplings’ tips &#8211; I wonder, will he see them more…","A poem composed on the occasion of the Imperial visit to the province of Ki in the first year of Taihō [701]."
"MYS II: 144","Naga no Okimaro 長意吉麻呂","wakapoetry","http://www.wakapoetry.net/mys-ii-144/","磐代の野中に立てる結び松心も解けずいにしへ思ほゆ","ipasiro no nonaka&nbsp; ni tateru musubimatu kokoro mo tokezu inisipe omopoyu","At Iwashiro  Amid the fields do stand  Bound pines;  My heart will not unbind,  Caught in thought of times long gone…",
"MYS II: 145","Yamanoue no Okura","wakapoetry","http://www.wakapoetry.net/mys-ii-145/","翼なすあり通ひつつ見らめども人こそ知らね松は知るらむ","tubasa nasu arigayopitutu miramedomo pito koso sirane matu pa siruramu","Bearing wings His soul does traverse the skies; The sight Means nothing to men, but The pine, alone, understands.","A poem composed later by Yamanoue no omi Okura."
